Manufacturer,Name,Codename,CPU Total Cores,CPU Total Threads,CPU Base Frequency (in GHz),CPU Max Frequency (in GHz),Socket,Process (in nm),CPU Cache L3 (in MB),CPU TDP L1 (in Watts),Released
Intel,Xeon E5-2640,Sandy Bridge-EP,6,12,"2,5",3,Socket 2011,32,15,95,"Mar 6th, 2012"
Intel,Xeon E5-2640 v2,Ivy Bridge-EP,8,16,2,,Socket 2011,22,20,95,"Sep 1st, 2013"
Intel,Xeon E5-2643,Sandy Bridge-EP,4,8,"3,3","3,5",Socket 2011,32,10,130,"Mar 6th, 2012"
Intel,Xeon E5-2643 v2,Ivy Bridge-EP,6,12,"3,5",,Socket 2011,22,15,130,"Sep 1st, 2013"
Intel,Xeon E5-2648L,Sandy Bridge-EP,8,16,"1,8","2,3",Socket 2011,32,20,70,"Mar 6th, 2012"
Intel,Xeon E5-2650,Sandy Bridge-EP,8,16,2,"2,8",Socket 2011,32,20,95,"Mar 6th, 2012"
Intel,Xeon E5-2650 v2,Ivy Bridge-EP,8,16,"2,6","3,4",Socket 2011,22,20,95,"Sep 1st, 2013"
Intel,Xeon E5-2650L,Sandy Bridge-EP,8,16,"1,8","2,3",Socket 2011,32,20,70,"Mar 6th, 2012"
Intel,Xeon E5-2650L v2,Ivy Bridge-EP,10,20,"1,7",,Socket 2011,22,25,70,"Sep 1st, 2013"
Intel,Xeon E5-2658,Sandy Bridge-EP,8,16,"2,1","2,4",Socket 2011,32,20,95,"Mar 6th, 2012"
Intel,Xeon E5-2660,Sandy Bridge-EP,8,16,"2,2",3,Socket 2011,32,20,95,"Mar 6th, 2012"
Intel,Xeon E5-2660 v2,Ivy Bridge-EP,10,20,"2,2",3,Socket 2011,22,25,95,"Sep 1st, 2013"
Intel,Xeon E5-2665,Sandy Bridge-EP,8,16,"2,4","3,1",Socket 2011,32,20,115,"Mar 6th, 2012"
Intel,Xeon E5-2667,Sandy Bridge-EP,6,12,"2,9","3,5",Socket 2011,32,15,130,"Mar 6th, 2012"
Intel,Xeon E5-2667 v2,Ivy Bridge-EP,8,16,"3,3",,Socket 2011,22,20,130,"Sep 1st, 2013"
Intel,Xeon E5-2670,Sandy Bridge-EP,8,16,"2,6","3,3",Socket 2011,32,20,115,"Mar 6th, 2012"
Intel,Xeon E5-2670 v2,Ivy Bridge-EP,10,20,"2,5","3,3",Socket 2011,22,25,115,"Sep 1st, 2013"
Intel,Xeon E5-2680,Sandy Bridge-EP,8,16,"2,7","3,5",Socket 2011,32,20,130,"Mar 6th, 2012"
Intel,Xeon E5-2680 v2,Ivy Bridge-EP,10,20,"2,8","3,6",Socket 2011,22,25,115,"Sep 1st, 2013"
Intel,Xeon E5-2687W,Sandy Bridge-EP,8,16,"3,1","3,8",Socket 2011,32,20,150,"Mar 6th, 2012"
Intel,Xeon E5-2687W v2,Ivy Bridge-EP,8,16,"3,4",4,Socket 2011,22,20,130,"Sep 1st, 2013"
Intel,Xeon E5-2690,Sandy Bridge-EP,8,16,"2,9","3,8",Socket 2011,32,20,135,"Mar 6th, 2012"
Intel,Xeon E5-2690 v2,Ivy Bridge-EP,10,20,3,"3,8",Socket 2011,22,25,130,"Sep 1st, 2013"
Intel,Xeon E5-2692 v2,Ivy Bridge-EP,12,24,"2,2",3,Socket 2011,22,30,100,"Sep 1st, 2013"
Intel,Xeon E5-2695 v2,Ivy Bridge-EP,12,24,"2,4","3,2",Socket 2011,22,30,115,"Sep 1st, 2013"
Intel,Xeon E5-2697 v2,Ivy Bridge-EP,12,24,"2,7","3,5",Socket 2011,22,30,130,"Sep 1st, 2013"
Intel,Xeon E5-4603,Sandy Bridge-EP,4,8,2,,Socket 2011,32,10,95,"May 14th, 2012"
Intel,Xeon E5-4607,Sandy Bridge-EP,6,12,"2,2",,Socket 2011,32,15,95,"May 14th, 2012"
Intel,Xeon E5-4610,Sandy Bridge-EP,6,12,"2,4","2,9",Socket 2011,32,15,130,"May 14th, 2012"
Intel,Xeon E5-4617,Sandy Bridge-EP,6,12,"2,9","3,4",Socket 2011,32,15,130,"May 14th, 2012"
Intel,Xeon E5-4620,Sandy Bridge-EP,8,16,"2,7","2,6",Socket 2011,32,16,130,"May 14th, 2012"
Intel,Xeon E5-4640,Sandy Bridge-EP,8,16,"2,4","2,8",Socket 2011,32,20,95,"May 14th, 2012"
Intel,Xeon E5-4650,Sandy Bridge-EP,8,16,"2,7","3,3",Socket 2011,32,20,130,"May 14th, 2012"
Intel,Xeon E5-4650L,Sandy Bridge-EP,8,16,"2,6","3,1",Socket 2011,32,20,115,"May 14th, 2012"
Intel,Core i7-8700B,Coffee Lake,6,12,"3,2","4,6",FCBGA1440,14,12,65,2018
